Year,Month,Day,Time.Start,Time.End,Hour,Minutes,Duration_min,Day_Duration
2016,1,28,15:06,16:31,1,25,85,248
2016,1,28,16:45,17:00,0,15,15,248
2016,1,31,9:30,12:30,3,0,180,180
2016,2,1,8:15,9:45,1,30,90,210
2016,2,1,10:00,12:00,2,0,120,210
2016,2,2,9:20,9:36,0,16,16,132
2016,2,2,9:39,10:20,0,41,41,132
2016,2,2,10:30,11:45,1,15,75,132
2016,2,3,9:00,12:00,3,0,180,275
2016,2,3,16:45,18:20,1,35,95,275
2016,2,4,9:46,11:02,1,16,76,76
2016,2,6,13:00,17:00,4,0,240,240
2016,2,7,9:00,12:00,3,0,180,495
2016,2,7,12:15,17:30,5,15,315,495
2016,2,9,13:30,14:30,1,0,60,60
2016,2,10,9:00,12:00,3,0,180,390
2016,2,10,14:00,17:30,3,30,210,390
2016,2,11,9:03,10:42,1,39,99,167
2016,2,11,13:54,15:02,1,8,68,167
2016,2,12,15:00,17:30,2,30,150,150
2016,2,13,13:00,16:00,3,0,180,180
2016,2,14,16:00,17:30,1,30,90,90
2016,2,15,13:00,17:00,4,0,240,240
2016,2,17,9:30,11:00,1,30,90,210
2016,2,17,15:00,17:00,2,0,120,210
2016,2,18,8:10,11:00,2,50,170,170
2016,2,19,9:30,10:45,1,15,75,75
2016,2,21,9:00,12:00,3,0,180,420
2016,2,21,13:00,17:00,4,0,240,420
2016,2,22,9:30,13:00,3,30,210,260
2016,2,22,16:00,16:50,0,50,50,260
2016,2,23,8:30,11:30,3,0,180,390
2016,2,23,13:00,16:30,3,30,210,390
2016,2,24,9:30,11:00,1,30,90,90
2016,2,25,8:15,12:00,3,45,225,405
2016,2,25,14:00,17:00,3,0,180,405
2016,2,26,8:30,11:00,2,30,150,300
2016,2,26,14:00,16:30,2,30,150,300
2016,2,28,13:00,14:30,1,30,90,90
2016,2,29,8:10,12:00,3,50,230,480
2016,2,29,13:00,15:30,2,30,150,480
2016,2,29,16:00,17:40,1,40,100,480
2016,3,2,13:00,15:30,2,30,150,150
2016,3,3,13:45,15:00,1,15,75,75
2016,3,4,8:30,12:45,4,15,255,255
2016,3,5,8:30,11:45,3,15,195,345
2016,3,5,13:30,16:00,2,30,150,345
2016,3,8,8:45,11:00,2,15,135,315
2016,3,8,13:00,16:00,3,0,180,315
2016,3,9,8:30,12:00,3,30,210,330
2016,3,9,13:00,15:00,2,0,120,330
2016,3,10,10:00,12:00,2,0,120,120
2016,3,12,10:00,11:30,1,30,90,270
2016,3,12,16:00,19:00,3,0,180,270
2016,3,13,13:30,16:30,3,0,180,180
2016,3,14,10:00,12:00,2,0,120,330
2016,3,14,14:00,17:30,3,30,210,330
2016,3,17,9:00,10:30,1,30,90,210
2016,3,17,14:00,16:00,2,0,120,210
2016,3,19,8:30,12:15,3,45,225,390
2016,3,19,13:15,16:00,2,45,165,390
2016,3,21,9:30,10:30,1,0,60,60
2016,3,22,8:15,10:30,2,15,135,225
2016,3,22,10:30,12:00,1,30,90,225
2016,3,25,9:30,11:45,2,15,135,225
2016,3,25,14:30,16:00,1,30,90,225
2016,3,29,8:30,10:00,1,30,90,360
2016,3,29,11:00,13:00,2,0,120,360
2016,3,29,15:00,17:30,2,30,150,360
2016,3,31,9:00,12:45,3,45,225,375
2016,3,31,14:00,16:30,2,30,150,375
2016,4,1,9:30,11:45,2,15,135,315
2016,4,1,14:45,17:45,3,0,180,315
2016,4,2,9:45,11:00,1,15,75,270
2016,4,2,14:00,17:15,3,15,195,270
2016,4,3,14:00,16:30,2,30,150,150
2016,4,4,9:30,13:00,3,30,210,390
2016,4,4,14:00,17:00,3,0,180,390
2016,4,7,16:00,17:30,1,30,90,90
2016,4,8,9:45,12:30,2,45,165,165
2017,1,5,17:45,20:00,2,15,135,135
2017,1,6,8:30,12:00,3,30,210,210
2017,1,8,9:00,16:00,7,0,420,420
2017,1,12,8:40,13:00,4,20,260,500
2017,1,12,13:45,17:45,4,0,240,500
2017,1,13,10:30,13:00,2,30,150,150
2017,1,17,13:00,17:00,4,0,240,240
2017,1,18,9:45,16:00,6,15,375,375
2017,1,19,9:15,12:00,2,45,165,315
2017,1,19,14:00,16:30,2,30,150,315
2017,1,20,9:00,12:00,3,0,180,240
2017,1,20,15:00,16:00,1,0,60,240
2017,1,22,10:00,13:00,3,0,180,420
2017,1,22,14:00,18:00,4,0,240,420
2017,1,23,9:00,16:00,7,0,420,420
2017,1,24,10:00,13:00,3,0,180,180
2017,1,30,8:30,11:45,3,15,195,195
2017,1,31,9:00,14:30,5,30,330,465
2017,1,31,3:00,5:15,2,15,135,465
2017,2,1,8:30,11:15,2,45,165,390
2017,2,1,13:30,17:15,3,45,225,390
2017,2,2,9:00,16:00,7,0,420,420
2017,2,3,10:00,12:00,2,0,120,120
2017,2,4,9:30,12:00,2,30,150,330
2017,2,4,14:00,17:00,3,0,180,330
2017,2,5,9:15,12:00,2,45,165,165
2017,2,6,9:00,12:30,3,30,210,450
2017,2,6,13:00,17:00,4,0,240,450
2017,2,7,9:00,12:30,3,30,210,210
2017,2,8,8:30,10:30,2,0,120,300
2017,2,8,13:00,16:00,3,0,180,300
2017,2,9,8:45,12:30,3,45,225,225
2017,2,11,9:00,13:00,4,0,240,240
2017,2,13,9:00,10:45,1,45,105,105
2017,2,15,9:00,15:00,6,0,360,360
2017,2,16,9:00,12:00,3,0,180,300
2017,2,16,14:00,16:00,2,0,120,300
2017,2,17,9:30,15:30,6,0,360,360
2017,2,18,9:00,12:00,3,0,180,180
2017,2,19,9:00,11:30,2,30,150,285
2017,2,19,15:00,17:15,2,15,135,285
2017,2,20,10:00,12:30,2,30,150,150
2017,2,21,9:30,14:30,5,0,300,300
2017,2,22,8:30,14:30,6,0,360,630
2017,2,22,15:30,20:00,4,30,270,630
2017,2,23,9:30,12:30,3,0,180,180
2017,2,25,9:15,12:30,3,15,195,195
2017,2,27,10:00,16:00,6,0,360,360
2017,2,28,9:00,16:00,7,0,420,420
2017,3,1,8:45,17:00,8,15,495,495
2017,3,2,10:00,17:00,7,0,420,420
2017,3,3,10:00,15:00,5,0,300,300
2017,3,5,9:00,16:00,7,0,420,420
2017,3,6,10:00,12:30,2,30,150,150
2017,3,7,13:00,17:30,4,30,270,270
2017,3,8,9:00,16:00,7,0,420,420
2017,3,9,8:30,10:00,1,30,90,420
2017,3,9,11:00,16:30,5,30,330,420
2017,3,10,9:00,11:00,2,0,120,120
2017,3,11,9:30,12:30,3,0,180,180
2017,3,12,9:30,12:30,3,0,180,180
2017,3,13,9:30,12:30,3,0,180,180
2017,3,14,9:30,12:30,3,0,180,180
2017,3,24,9:00,12:30,3,30,210,285
2017,3,24,13:45,15:00,1,15,75,285
2017,3,25,9:30,12:30,3,0,180,180
2017,3,26,9:30,12:30,3,0,180,330
2017,3,26,14:30,17:00,2,30,150,330
2017,4,3,9:30,17:00,7,30,450,450
2017,4,4,9:30,11:30,2,0,120,330
2017,4,4,13:00,16:30,3,30,210,330
2017,4,7,12:45,15:00,2,15,135,135
2017,4,10,16:00,16:30,0,30,30,30
2017,4,12,12:45,15:15,2,30,150,150
2017,4,16,10:00,12:30,2,30,150,150
2017,4,25,13:00,15:30,3,30,210,210
2017,4,26,13:00,16:00,4,30,270,270
2018,1,4,19:45,22:00,2,15,135,135
2018,1,5,9:45,11:30,1,45,105,270
2018,1,5,14:30,17:15,2,45,165,270
2018,1,6,19:20,21:30,2,10,130,130
2018,1,7,9:30,12:20,2,50,170,345
2018,1,7,14:45,17:40,2,55,175,345
2018,1,8,10:50,14:55,4,5,245,245
2018,1,10,9:00,13:10,4,10,250,250
2018,1,11,9:00,12:40,3,40,220,220
2018,1,12,8:50,12:10,3,20,200,200
2018,1,13,13:00,16:15,3,15,195,195
2018,1,14,11:45,14:00,2,15,135,135
2018,1,15,11:30,14:30,3,0,180,180
2018,1,16,9:30,12:45,3,15,195,195
2018,1,17,9:00,11:00,2,0,120,345
2018,1,17,13:30,15:15,1,45,105,345
2018,1,17,15:30,17:30,2,0,120,345
2018,1,18,9:40,12:10,2,30,150,150
2018,1,19,9:40,12:00,2,20,140,280
2018,1,19,14:40,17:00,2,20,140,280
2018,1,20,9:45,12:30,2,45,165,165
2018,1,21,11:45,16:45,5,0,300,300
2018,1,22,8:45,12:30,3,45,225,390
2018,1,22,13:45,14:45,1,0,60,390
2018,1,22,16:00,17:45,1,45,105,390
2018,1,23,8:15,10:00,1,45,105,300
2018,1,23,12:00,12:45,0,45,45,300
2018,1,23,14:45,17:15,2,30,150,300
2018,1,25,10:00,12:30,2,30,150,370
2018,1,25,14:30,18:10,3,40,220,370
2018,1,26,9:40,13:00,3,20,200,300
2018,1,26,14:20,16:00,1,40,100,300
2018,1,27,9:30,12:00,2,30,150,150
2018,1,28,9:40,12:00,2,20,140,140
2018,1,29,9:00,12:15,3,15,195,315
2018,1,29,14:10,16:10,2,0,120,315
2018,1,30,10:10,11:20,1,10,70,350
2018,1,30,13:10,17:50,4,40,280,350
2018,1,31,9:00,10:30,1,30,90,90
2018,2,1,9:40,15:00,5,20,320,320
2018,2,2,9:50,12:10,2,20,140,140
2018,2,4,9:40,12:40,3,0,180,370
2018,2,4,13:50,17:00,3,10,190,370
2018,2,5,9:15,14:15,5,0,300,300
2018,2,8,9:15,11:15,2,0,120,300
2018,2,8,15:15,18:15,3,0,180,300
2018,2,9,9:25,10:55,1,30,90,90
2018,2,11,9:40,17:30,7,50,470,470
2018,2,12,10:00,12:40,2,40,160,160
