Year,Month,Day,Hour,Longitude,Latitude,Intensity_CVU
2019,1,9,18,-76.13999999999999,-66.287,3.5978
2019,1,10,0,-71.68,-64.944,3.2945
2019,1,10,6,-68.10000000000002,-63.732,3.0179
2019,1,13,0,-76.82,-63.822,3.0275
2019,1,20,0,-79.67000000000002,-65.774,3.3206
2019,1,20,6,-79.02999999999997,-65.659,2.9026
2019,1,20,12,-77.74000000000001,-65.505,2.6395
2019,1,20,18,-75.11000000000001,-65.342,2.317
2019,1,21,0,-70.97000000000003,-65.042,1.7573
2019,1,21,6,-66.37,-65.125,1.2331
2019,2,4,18,-76.36000000000001,-68.099,3.1885
2019,2,15,0,-77.88999999999999,-65.888,3.2127
2019,2,15,6,-77.13999999999999,-66.073,2.4442
2019,2,15,12,-77.11000000000001,-65.382,1.8196
2019,2,15,18,-76.06,-65.66,1.8004
2019,2,16,0,-73.75,-65.693,1.524
2019,2,25,18,-77.32999999999998,-64.725,2.9472
2019,3,9,6,-76.42000000000002,-63.477,4.6401
2019,3,16,6,-79.76999999999998,-66.226,2.1642
2019,3,16,12,-76.45999999999998,-65.345,2.1911
2019,3,16,18,-71.88,-65.255,2.7276
2019,3,17,0,-67.44,-65.449,2.8666
2019,3,17,6,-63.27999999999997,-65.395,3.6204
2019,3,21,12,-78.85000000000002,-67.41,2.6426
2019,3,21,18,-77.75999999999999,-68.132,2.6725
2019,3,22,0,-75.60000000000002,-68.406,2.027
2019,3,22,6,-73.10000000000002,-68.816,1.4333
2019,3,4,18,-61.69999999999999,-65.772,2.1867
2019,3,11,12,-62.51999999999998,-69.812,2.1042
2019,3,11,18,-64.07999999999998,-67.856,1.373
2019,3,25,6,-78.94,-63.653,4.3894
2019,3,25,12,-73.31,-63.31,4.0784
2019,3,24,6,-73.10000000000002,-65.795,3.3915
2019,3,24,12,-70.17000000000002,-69.255,3.058
2019,3,30,18,-78.95999999999998,-64.416,4.9194
2019,3,31,0,-75.62,-64.272,4.9662
2019,3,31,6,-71.77999999999997,-63.852,4.2701
2019,3,31,12,-69.52999999999997,-63.537,3.5697
2019,3,28,18,-73.07,-65.418,4.6006
2019,3,29,0,-69.76999999999998,-67.751,4.5515
2019,3,29,6,-67.67000000000002,-69.022,3.2613
2019,4,15,0,-64.57,-63.18,7.6355
2019,4,25,0,-66.67000000000002,-63.933,3.3058
2019,4,27,18,-79.910000000000025,-69.178,5.0476
2019,4,28,0,-79.25,-69.723,4.361
2020,1,2,12,-73.18,-63.326,4.4088
2020,1,2,18,-70.25999999999999,-63.436,4.0677
2020,1,3,0,-65.97000000000003,-63.011,3.629
2020,1,28,18,-79.13999999999999,-64.118,3.9897
2020,1,30,0,-62.389999999999986,-64.45,2.5824
2020,1,30,6,-63.94,-68.576,2.2916
2020,2,2,12,-62.29000000000002,-64.702,3.4236
2020,2,10,18,-79.839999999999975,-66.596,5.5617
2020,2,11,0,-77.94999999999999,-67.901,4.8187
2020,2,11,6,-77.04000000000002,-68.928,4.0111
2020,2,11,12,-76.339999999999975,-69.803,3.0613
2020,2,6,12,-65.54000000000002,-68.876,2.2817
2020,2,15,12,-74.64999999999998,-63.309,2.6651
2020,2,15,18,-78.02999999999997,-63.873,2.7758
2020,2,16,0,-78.44999999999999,-64.2,2.7697
2020,2,16,6,-79.31,-64.345,2.2055
2020,2,29,18,-78.23000000000002,-67.142,3.2212
2020,3,1,0,-75.10000000000002,-67.458,3.3862
2020,3,1,6,-72.5,-67.892,3.2319
2020,3,1,12,-69.82,-68.242,2.8325
2020,3,12,12,-79.82,-63.16,3.6786
2020,3,12,18,-75.95999999999998,-65.189,3.2331
2020,3,13,0,-71.94,-68.081,2.1233
2020,3,23,0,-79.95999999999998,-65.178,3.8649
2020,3,23,6,-75.660000000000025,-64.248,3.0141
2020,3,23,12,-71.93,-63.379,2.4852
2020,3,25,12,-76.56,-63.059,3.6011
2020,3,25,18,-69.52999999999997,-65.568,4.1331
2020,3,26,0,-66.19,-67.727,5.6025
2020,3,30,0,-78.12,-66.679,3.5153
2020,3,30,6,-74.44,-67.776,3.231
2020,3,30,12,-73.81,-69.46,2.0713
2020,4,6,0,-79.44,-63.542,3.9069
2020,4,6,6,-78.26999999999998,-63.017,3.9693
2020,4,6,18,-73.07999999999998,-63.557,3.3322
2020,4,7,0,-73.82999999999998,-65.118,2.8397
2020,4,7,6,-70.910000000000025,-65.094,2.8585
2020,4,7,12,-65.63,-64.068,2.288
2020,4,4,6,-64.43,-64.745,2.5105
2020,4,10,12,-77.82999999999998,-65.865,7.3257
2020,4,10,18,-71.79000000000002,-67.32,6.8518
2020,4,11,0,-66.69,-68.713,5.3605
2020,4,13,6,-79.24000000000001,-65.043,2.482
2020,4,13,12,-74.75999999999999,-63.34,2.8014
2020,4,30,18,-64.82,-63.191,5.2389
2020,4,18,0,-71.39999999999998,-67.976,1.1571
2020,4,18,6,-67.29000000000002,-69.694,1.5471
2020,4,18,12,-64.75,-68.542,3.4399
2020,4,21,0,-77.410000000000025,-67.809,4.2075
2020,4,21,6,-72.89999999999998,-69.848,4.2715
2020,4,23,0,-61.35000000000002,-69.974,1.743
2020,4,21,12,-64.57,-64.391,3.6794
